account,date,daily_pnl,trades_count,avg_trade_size_usd,win_rate,long_short_ratio,classification,freq_segment,consistency_segment,size_segment,next_day_pnl,next_day_profitable
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,5089.718248587571,0.0,0.33691756272401435,Extreme Greed,Frequent,Inconsistent,Large Size,0.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,7976.664411764705,0.0,0.5367647058823529,Extreme Greed,Frequent,Inconsistent,Large Size,0.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,23734.5,0.0,0.5656108597285068,Extreme Greed,Frequent,Inconsistent,Large Size,-21227.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,28186.666666666668,0.0,0.9289772727272727,Extreme Greed,Infrequent,Inconsistent,Large Size,1603.1,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,17248.14814814815,0.4444444444444444,1.8761904761904762,Extreme Greed,Infrequent,Inconsistent,Large Size,-132271.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,16058.536341463414,0.0,1.656,Extreme Greed,Frequent,Inconsistent,Large Size,0.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,48561.68565217392,0.0,0.3814814814814815,Extreme Greed,Infrequent,Inconsistent,Large Size,-175611.00005600002,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,36736.36242424243,0.0,1.0353535353535352,Greed,Frequent,Inconsistent,Large Size,71393.964098,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,11410.954021505377,0.04946236559139785,1.1584022038567494,Extreme Greed,Frequent,Inconsistent,Large Size,40218.599998,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,9400.588039215687,0.5490196078431373,1.3482142857142858,Extreme Greed,Frequent,Inconsistent,Large Size,76710.0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,185847.0,0.9,1.713991769547325,Greed,Infrequent,Inconsistent,Large Size,101011.685664,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,23593.019856972587,0.30512514898688914,0.8463925523661753,Fear,Frequent,Inconsistent,Large Size,375620.270243,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,10576.687156308852,0.15630885122410546,0.8349159970781592,Greed,Frequent,Inconsistent,Large Size,44400.9058,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,210,26585.06338095238,0.37142857142857144,1.1332236842105263,Neutral,Frequent,Inconsistent,Large Size,30897.0887,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,10161.056241134751,0.9361702127659575,1.2738095238095237,Neutral,Frequent,Inconsistent,Large Size,55086.0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,32032.5,0.3333333333333333,0.6805293005671077,Fear,Frequent,Inconsistent,Large Size,0.0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6,134600.00166666668,0.0,0.7448559670781894,Neutral,Infrequent,Inconsistent,Large Size,10152.12224,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,59,27178.041694915253,0.5254237288135594,1.3786531130876747,Neutral,Frequent,Inconsistent,Large Size,115445.395538,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,219,13233.776894977169,0.4246575342465753,2.1074626865671644,Fear,Frequent,Inconsistent,Large Size,115287.0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,55,24958.908545454546,0.01818181818181818,1.0838445807770962,Extreme Fear,Frequent,Inconsistent,Large Size,9482.221441,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,45,2985.797555555556,0.8,1.5217391304347827,Extreme Fear,Frequent,Inconsistent,Large Size,533974.662903,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641,8371.136099843994,0.8424336973478939,2.5883777239709445,Fear,Frequent,Inconsistent,Large Size,40200.0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,5,79640.0,0.8,0.2616707616707617,Neutral,Infrequent,Inconsistent,Large Size,307855.80341,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,31,21491.640322580646,1.0,0.6111535523300229,Fear,Frequent,Inconsistent,Large Size,,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,55,2469.9509090909087,0.8363636363636363,0.3814814814814815,Extreme Greed,Frequent,Consistent,Large Size,0.0,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,1,0.06,0.0,0.5294117647058824,Extreme Greed,Infrequent,Consistent,Small Size,0.0,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,34,1426.8700000000001,0.0,1.0353535353535352,Greed,Frequent,Consistent,Small Size,3515.031065,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,26,2001.101153846154,0.9615384615384616,0.5670103092783505,Extreme Greed,Infrequent,Consistent,Large Size,0.0,0
